d3mIndex,filename,start,end,salience,class
1902,194962.mp3,4.1517620000000015,12.48,1.0,engine_idling
687,165567.aiff,12.111718,14.759624,2.0,dog_bark
1340,7913.flac,5.540695,6.32943,1.0,dog_bark
303,87275.wav,2.2025080000000004,2.264294,2.0,car_horn
573,12647.flac,5.238432,6.438297,1.0,dog_bark
1596,180029.wav,57.34806700000001,59.595675,1.0,drilling
1371,7975.mp3,173.049526,177.65945200000004,2.0,dog_bark
301,87275.wav,1.613718,1.668236,2.0,car_horn
782,192236.wav,3.506272,23.822026,1.0,dog_bark
1807,84699.wav,23.193341,24.498676,1.0,drilling
305,87275.wav,2.645917,2.754952,2.0,car_horn
1774,71088.wav,5.366155,7.970164,1.0,drilling
1587,180029.wav,30.61515,31.398407,1.0,drilling
38,189991.flac,0.0,18.08,1.0,air_conditioner
1832,112075.mp3,8.037355,16.601339000000007,2.0,engine_idling
1923,22885.flac,2.17286,6.4278330000000015,1.0,engine_idling
1886,17592.flac,2.005174,7.493914,1.0,engine_idling
1892,18592.mp3,6.504182,19.991971,1.0,engine_idling
